Year AD,Temperature (deg C anomaly wrt 1961-1990),2 sigma unc. low,2 sigma unc. high,,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990),,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990)
1804,-0.82,-1.34,-0.19,,,,,,
1805,-0.54,-1.19,0.18,,,,,,
1806,-1.39,-2.00,-0.63,,,,,,
1807,-1.38,-2.09,-0.57,,,,,,
1808,-0.87,-1.37,-0.34,,,,,,
1809,-1.23,-1.89,-0.44,,,,,,
1810,-1.73,-2.15,-1.08,,,,,,
1811,-1.79,-2.23,-1.19,,,,,,
1812,-1.96,-2.56,-1.15,,,,,,
1813,-2.11,-2.63,-1.24,,,,,,
1814,-2.25,-2.72,-1.49,,,,,,
1815,-1.67,-2.40,-0.80,,,,,,
1816,-1.88,-2.46,-1.16,,,,,,
1817,-1.97,-2.43,-1.34,,,,,,
1818,-1.94,-2.40,-1.37,,,,,,
1819,-1.30,-1.82,-0.67,,,,,,
1820,-1.14,-1.77,-0.37,,,,,,
1821,-1.60,-2.17,-0.66,,,,,,
1822,-2.23,-2.68,-1.57,,,,,,
1823,-1.82,-2.36,-1.14,,,,,,
1824,-1.58,-2.16,-0.84,,,,,,
1825,-1.78,-2.27,-1.16,,,,,,
1826,-1.14,-1.81,-0.41,,,,,,
1827,-1.02,-1.66,-0.41,,,,,,
1828,-0.53,-1.17,0.16,,,,,,
1829,-0.30,-0.93,0.30,,,,,,
1830,-0.87,-1.46,-0.22,,,,,,
1831,-0.76,-1.39,-0.04,,,,,,
1832,-0.97,-1.62,-0.05,,,,,,
1833,-0.85,-1.55,0.25,,,,,,
1834,-1.51,-2.14,-0.83,,,,,,
1835,-1.59,-2.15,-0.93,,,,,,
1836,-1.51,-2.09,-0.77,,,,,,
1837,-2.23,-2.74,-1.49,,,,,,
1838,-1.43,-1.93,-0.80,,,,,,
1839,-1.06,-1.62,-0.40,,,,,,
1840,-0.75,-1.31,-0.11,,,,,,
1841,-1.41,-2.04,-0.59,,,,,,
1842,-1.63,-2.18,-0.92,,,,,,
1843,-1.70,-2.05,-1.08,,,,,,
1844,-1.57,-1.99,-0.96,,,,,,
1845,-1.10,-1.60,-0.53,,,,,,
1846,-1.35,-1.91,-0.76,,,,,,
1847,-0.38,-1.17,0.39,,,,,,
1848,-1.01,-1.46,-0.44,,,,,,
1849,-1.04,-1.60,-0.40,,,,,,
1850,-1.26,-1.75,-0.62,,,,,,
1851,-0.86,-1.44,-0.25,,,,,,
1852,-0.23,-0.84,0.29,,,,,,
1853,-0.65,-1.20,-0.08,,,,,,
1854,-1.00,-1.49,-0.41,,,,,,
1855,-0.89,-1.41,-0.22,,,,,,
1856,-0.68,-1.34,-0.05,,,,,,
1857,-1.76,-2.29,-1.19,,,,,,
1858,-0.76,-1.33,-0.14,,,,,,
1859,-0.95,-1.40,-0.40,,,,,,
1860,-0.85,-1.31,-0.30,,,,,,
1861,-0.62,-1.07,-0.19,,,,,,
1862,-1.31,-1.75,-0.78,,,,,,
1863,-1.97,-2.42,-1.40,,,,,,
1864,-1.80,-2.29,-1.15,,,,,,
1865,-1.20,-1.65,-0.60,,,,,,
1866,-1.39,-1.80,-0.81,,,,,,
1867,-1.71,-2.07,-1.03,,,,,,
1868,-0.93,-1.55,-0.24,,,,,,
1869,-1.05,-1.56,-0.41,,,,,,
1870,-0.24,-0.99,0.44,,,,,,
1871,-0.61,-1.26,0.07,,,,,,
1872,-0.34,-0.89,0.28,,,,,,
1873,-0.83,-1.39,-0.17,,,,,,
1874,-1.35,-1.90,-0.61,,,,,,
1875,-0.36,-0.89,0.24,,,,,,
1876,-0.02,-0.70,0.60,,,,,,
1877,0.08,-0.57,0.63,,,,,,
1878,-0.03,-0.69,0.56,,,,,,
1879,-0.35,-0.88,0.29,,,,,,
1880,-0.85,-1.38,-0.17,,,,,,
1881,-0.72,-1.31,0.00,,,,,,
1882,-1.04,-1.45,-0.51,,,,,,
1883,-0.80,-1.30,-0.16,,,,,,
1884,-0.80,-1.42,0.01,,,,,,
1885,-1.35,-1.92,-0.62,,,,,,
1886,-0.87,-1.48,-0.17,,,,,,
1887,-0.88,-1.54,-0.13,,,,,,
1888,-1.33,-1.92,-0.63,,,,,,
1889,-1.00,-1.48,-0.36,,,,,,
1890,-0.67,-1.17,-0.06,,,,,,
1891,-0.90,-1.35,-0.36,,,,,,
1892,-1.20,-1.78,-0.45,,,,,,
1893,-0.81,-1.46,-0.07,,,,,,
1894,-0.94,-1.43,-0.32,,,,,,
1895,-0.04,-0.63,0.57,,,,,,
1896,-0.35,-0.90,0.22,,,,,,
1897,-0.51,-1.08,0.10,,,,,,
1898,-0.35,-1.00,0.30,,,,,,
1899,-0.77,-1.39,-0.03,,,,,,
1900,-1.45,-1.98,-0.73,,,,,,
1901,-0.51,-1.08,0.12,,,,,,
1902,-0.58,-1.17,0.08,,,,,,
1903,-1.11,-1.62,-0.26,,,,,,
1904,-0.89,-1.59,-0.05,,,,,,
1905,-1.95,-2.42,-1.32,,,,,,
1906,-1.19,-1.66,-0.45,,,,,,
1907,-1.88,-2.32,-1.12,,,,,,
1908,-0.30,-1.10,0.42,,,,,,
1909,-0.66,-1.24,0.01,,,,,,
1910,-1.26,-1.79,-0.62,,,,,,
1911,-1.62,-2.17,-0.93,,,,,,
1912,-0.82,-1.31,-0.22,,,,,,
1913,-1.00,-1.53,-0.35,,,,,,
1914,-0.84,-1.30,-0.21,,,,,,
1915,-0.69,-1.32,-0.07,,,,,,
1916,-0.44,-0.96,0.16,,,,,,
1917,-0.34,-0.94,0.31,,,,,,
1918,-0.83,-1.43,-0.26,,,,,,
1919,-1.11,-1.58,-0.50,,,,,,
1920,-0.46,-1.04,0.03,,,,,,
1921,-0.62,-1.19,-0.04,,,,,,
1922,0.02,-0.71,0.52,,,,,,
1923,-0.07,-0.87,0.67,,,,,,
1924,-0.03,-0.77,0.53,,,,,,
1925,-0.17,-0.87,0.44,,,,,,
1926,0.12,-0.50,0.63,,,,,,
1927,0.11,-0.60,0.78,,,,,,
1928,-0.31,-0.93,0.34,,,,,,
1929,-0.26,-0.89,0.45,,,,,,
1930,-0.21,-0.81,0.47,,,,,,
1931,0.06,-0.42,0.56,,,,,,
1932,0.08,-0.60,0.79,,,,,,
1933,-0.19,-0.67,0.29,,,,,,
1934,0.33,-0.35,0.93,,,,,,
1935,-0.08,-0.64,0.42,,,,,,
1936,-0.55,-1.14,0.08,,,,,,
1937,-0.22,-0.91,0.41,,,,,,
1938,0.22,-0.51,0.80,,,,,,
1939,0.52,-0.09,1.00,,,,,,
1940,0.74,0.12,1.18,,,,,,
1941,-0.39,-1.07,0.33,,,,,,
1942,0.48,-0.25,1.05,,,,,,
1943,-0.35,-0.97,0.19,,,,,,
1944,-0.10,-0.67,0.34,,,,,,
1945,0.04,-0.68,0.61,,,,,,
1946,0.05,-0.58,0.66,,,,,,
1947,-0.11,-0.77,0.54,,,,,,
1948,-0.17,-0.71,0.31,,,,,,
1949,-0.55,-1.19,0.06,,,,,,
1950,-0.23,-0.93,0.40,,,,,,
1951,-0.60,-1.21,0.06,,,,,,
1952,-0.30,-0.83,0.20,,,,,,
1953,0.62,-0.13,1.07,,,,,,
1954,0.03,-0.49,0.54,,,,,,
1955,0.19,-0.35,0.59,,,,,,
1956,0.46,-0.20,1.01,,,,,,
1957,0.48,-0.11,0.96,,,,,,
1958,0.18,-0.50,0.68,,,,,,
1959,0.69,0.06,1.22,,,,,,
1960,1.22,0.53,1.67,,,,,,
1961,0.93,0.37,1.32,,,,,,
1962,0.27,-0.43,0.79,,,,,,
1963,0.08,-0.53,0.54,,,,,,
1964,0.65,0.06,1.06,,,,,,
1965,-0.03,-0.53,0.39,,,,,,
1966,-0.09,-0.60,0.38,,,,,,
1967,-0.06,-0.72,0.52,,,,,,
1968,-0.11,-0.64,0.40,,,,,,
1969,0.48,-0.06,0.93,,,,,,
1970,-0.12,-0.68,0.33,,,,,,
1971,-0.15,-0.75,0.47,,,,,,
1972,-0.50,-1.13,-0.01,,,,,,
1973,-0.37,-0.99,0.23,,,,,,
1974,-1.10,-1.72,-0.36,,,,,,
1975,-0.86,-1.31,-0.33,,,,,,
1976,-0.48,-1.05,0.06,,,,,,
1977,0.31,-0.26,0.78,,,,,,
1978,0.03,-0.60,0.52,,,,,,
1979,-0.03,-0.82,0.61,,,,,,
1980,0.41,-0.25,1.00,,,,,,
1981,-0.39,-1.04,0.20,,,,,,
1982,-0.08,-0.86,0.58,,,,,,
1983,0.24,-0.54,0.79,,,,,,
1984,0.20,-0.53,0.83,,,,,,
1985,0.58,0.04,0.98,,,,,,
1986,0.59,-0.07,1.13,,,,,,
1987,-0.01,-0.78,0.66,,,,,,
1988,0.34,-0.43,0.76,,,,,,
1989,-0.19,-1.14,0.54,,,,,,
1990,-0.27,-1.09,0.37,,,,,,
1991,-0.05,-0.85,0.60,,,,,,
1992,-0.59,-1.46,0.12,,,,,,
1993,0.52,-0.15,0.95,,,,,,
1994,0.31,-0.67,1.05,,,,,,
1995,0.39,-0.43,1.29,,,,,,
1996,0.60,-0.16,1.24,,,,,,
1997,0.43,-0.57,1.25,,,,,,
1998,0.53,-0.41,1.33,,,,,,
1999,0.17,-0.86,1.09,,,,,,
2000,-0.05,-1.17,1.01,,,,,,
,,,,,,,,,
