Year AD,Temperature (deg C anomaly wrt 1961-1990),2 sigma unc. low,2 sigma unc. high,,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990),,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990)
281,-0.32,-1.18,0.75,,,,,,
282,0.38,-0.69,1.37,,,,,,
283,0.58,-0.30,1.46,,,,,,
284,0.65,-0.40,1.60,,,,,,
285,-0.42,-1.36,0.50,,,,,,
286,-0.26,-0.93,0.39,,,,,,
287,-0.13,-1.06,0.79,,,,,,
288,-0.11,-0.88,0.69,,,,,,
289,-1.13,-2.07,-0.13,,,,,,
290,-0.19,-1.23,1.16,,,,,,
291,0.43,-0.62,1.60,,,,,,
292,0.02,-1.07,1.22,,,,,,
293,-0.94,-1.77,0.01,,,,,,
294,-1.18,-2.15,-0.15,,,,,,
295,-0.43,-1.34,0.48,,,,,,
296,-0.17,-1.04,0.69,,,,,,
297,-0.58,-1.59,0.40,,,,,,
298,-0.42,-1.48,0.73,,,,,,
299,0.20,-0.89,1.48,,,,,,
300,-0.98,-1.68,-0.15,,,,,,
301,-0.40,-1.34,0.73,,,,,,
302,-0.61,-1.67,0.77,,,,,,
303,-0.81,-1.69,0.38,,,,,,
304,-0.93,-2.06,0.11,,,,,,
305,-0.74,-1.60,0.24,,,,,,
306,-0.32,-1.24,0.78,,,,,,
307,-0.96,-1.81,0.03,,,,,,
308,-0.65,-1.43,0.32,,,,,,
309,-0.42,-1.39,0.64,,,,,,
310,-0.23,-1.30,1.04,,,,,,
311,-1.18,-2.12,-0.25,,,,,,
312,-0.48,-1.47,0.67,,,,,,
313,-0.63,-1.45,0.24,,,,,,
314,-0.61,-1.53,0.41,,,,,,
315,-0.46,-1.33,0.46,,,,,,
316,-0.17,-1.23,0.93,,,,,,
317,-0.87,-1.89,0.14,,,,,,
318,-0.79,-1.61,0.23,,,,,,
319,-0.81,-1.87,0.49,,,,,,
320,-0.37,-1.35,0.74,,,,,,
321,-1.20,-1.91,-0.24,,,,,,
322,-0.86,-1.60,0.14,,,,,,
323,-1.12,-1.98,-0.14,,,,,,
324,0.51,-0.50,1.65,,,,,,
325,-0.28,-1.03,0.57,,,,,,
326,-0.24,-1.13,0.90,,,,,,
327,0.14,-0.80,1.09,,,,,,
328,-0.49,-1.46,0.49,,,,,,
329,-0.87,-1.83,0.23,,,,,,
330,-0.56,-1.52,0.53,,,,,,
331,0.07,-0.84,0.92,,,,,,
332,0.58,-0.38,1.70,,,,,,
333,0.30,-0.73,1.32,,,,,,
334,-0.05,-0.78,0.74,,,,,,
335,-0.55,-1.52,0.56,,,,,,
336,-0.05,-1.10,0.97,,,,,,
337,-0.90,-1.76,0.00,,,,,,
338,-0.07,-1.48,1.74,,,,,,
339,-0.61,-1.78,0.91,,,,,,
340,-1.26,-2.45,0.06,,,,,,
341,-1.29,-2.28,-0.17,,,,,,
342,-1.22,-2.14,-0.05,,,,,,
343,-1.14,-2.06,-0.02,,,,,,
344,-0.31,-1.27,0.93,,,,,,
345,-1.01,-2.01,0.09,,,,,,
346,-1.19,-2.11,-0.20,,,,,,
347,-0.89,-2.00,0.17,,,,,,
348,0.07,-1.03,1.08,,,,,,
349,-0.33,-1.34,0.90,,,,,,
350,-0.56,-1.38,0.60,,,,,,
351,-1.07,-2.07,0.18,,,,,,
352,-0.80,-1.89,0.37,,,,,,
353,0.68,-0.31,1.97,,,,,,
354,0.38,-0.75,1.79,,,,,,
355,-0.10,-0.92,0.82,,,,,,
356,-0.65,-1.60,0.30,,,,,,
357,-0.47,-1.53,0.57,,,,,,
358,-0.40,-1.29,0.50,,,,,,
359,-0.94,-2.16,0.30,,,,,,
360,0.38,-0.32,1.17,,,,,,
361,0.63,-0.20,1.59,,,,,,
362,-0.16,-1.13,1.06,,,,,,
363,0.47,-0.48,1.47,,,,,,
364,-0.45,-1.52,0.72,,,,,,
365,0.10,-0.90,1.18,,,,,,
366,-0.22,-0.98,0.73,,,,,,
367,-0.08,-0.97,0.89,,,,,,
368,-0.26,-1.00,0.71,,,,,,
369,-0.80,-1.67,0.13,,,,,,
370,0.43,-0.53,1.60,,,,,,
371,-0.61,-1.49,0.27,,,,,,
372,-1.03,-2.15,0.12,,,,,,
373,-0.20,-1.03,0.70,,,,,,
374,-0.39,-1.21,0.52,,,,,,
375,0.52,-0.56,1.68,,,,,,
376,-0.10,-1.14,1.10,,,,,,
377,0.19,-0.69,1.40,,,,,,
378,0.43,-0.59,1.63,,,,,,
379,-0.09,-1.15,1.28,,,,,,
380,-0.09,-1.26,1.29,,,,,,
381,0.02,-1.29,1.47,,,,,,
382,-0.29,-1.52,1.14,,,,,,
383,-0.33,-1.43,1.06,,,,,,
384,0.58,-0.40,1.41,,,,,,
385,0.54,-0.15,1.32,,,,,,
386,0.37,-0.61,1.26,,,,,,
387,-0.82,-1.55,0.16,,,,,,
388,-0.32,-1.29,0.56,,,,,,
389,-0.23,-1.07,0.65,,,,,,
390,-0.07,-1.19,1.03,,,,,,
391,0.49,-0.48,1.53,,,,,,
392,0.37,-0.60,1.23,,,,,,
393,-0.75,-1.74,0.47,,,,,,
394,-0.02,-1.15,1.36,,,,,,
395,-0.32,-1.29,0.94,,,,,,
396,-0.28,-1.36,0.94,,,,,,
397,-0.73,-1.81,0.49,,,,,,
398,0.49,-0.55,1.65,,,,,,
399,0.62,-0.52,1.85,,,,,,
400,0.77,-0.21,1.65,,,,,,
401,0.91,-0.34,2.08,,,,,,
402,1.10,0.22,2.11,,,,,,
403,1.03,0.20,1.72,,,,,,
404,0.19,-0.79,1.14,,,,,,
405,-0.03,-0.73,0.74,,,,,,
406,0.90,-0.03,2.13,,,,,,
407,0.27,-0.78,1.57,,,,,,
408,0.91,-0.32,2.17,,,,,,
409,0.61,-0.58,2.13,,,,,,
410,-0.23,-1.16,0.67,,,,,,
411,0.21,-0.84,1.17,,,,,,
412,0.79,-0.25,1.86,,,,,,
413,-0.87,-1.94,0.37,,,,,,
414,-0.32,-1.21,0.83,,,,,,
415,0.39,-0.60,1.58,,,,,,
416,0.32,-0.75,1.74,,,,,,
417,0.16,-1.00,1.55,,,,,,
418,-0.01,-1.05,1.18,,,,,,
419,0.42,-0.47,1.44,,,,,,
420,0.24,-0.76,1.50,,,,,,
421,-1.29,-2.47,-0.12,,,,,,
422,-0.23,-1.26,0.88,,,,,,
423,0.40,-0.83,1.62,,,,,,
424,0.02,-1.11,1.14,,,,,,
425,-0.28,-1.47,1.09,,,,,,
426,-0.98,-2.09,0.22,,,,,,
427,0.30,-0.71,1.60,,,,,,
428,0.61,-0.53,2.00,,,,,,
429,0.44,-0.62,1.89,,,,,,
430,0.28,-0.98,1.60,,,,,,
431,0.11,-0.81,1.18,,,,,,
432,0.04,-1.05,1.27,,,,,,
433,0.05,-1.01,1.03,,,,,,
434,-0.63,-1.66,0.56,,,,,,
435,0.45,-0.47,1.41,,,,,,
436,0.15,-0.86,1.35,,,,,,
437,0.58,-0.62,1.87,,,,,,
438,0.12,-0.98,1.21,,,,,,
439,-0.54,-1.79,0.97,,,,,,
440,-0.43,-1.46,0.71,,,,,,
441,-0.13,-1.06,0.88,,,,,,
442,0.09,-1.00,1.24,,,,,,
443,-0.19,-1.32,1.05,,,,,,
444,-0.38,-1.40,0.78,,,,,,
445,0.03,-0.94,0.99,,,,,,
446,-0.39,-1.37,0.66,,,,,,
447,-1.01,-1.90,0.26,,,,,,
448,-0.30,-1.05,0.45,,,,,,
449,-0.23,-1.21,1.14,,,,,,
450,-0.43,-1.50,0.75,,,,,,
451,0.21,-0.87,1.27,,,,,,
452,-0.44,-1.52,0.91,,,,,,
453,0.24,-1.06,1.85,,,,,,
454,-0.36,-1.43,0.99,,,,,,
455,-0.03,-1.08,1.03,,,,,,
456,-0.33,-1.25,0.63,,,,,,
457,0.18,-0.90,1.07,,,,,,
458,0.07,-1.10,1.18,,,,,,
459,-0.61,-1.52,0.35,,,,,,
460,-0.89,-2.04,0.49,,,,,,
461,-0.34,-1.32,0.69,,,,,,
462,-0.21,-1.17,0.83,,,,,,
463,-0.49,-1.22,0.36,,,,,,
464,-0.74,-1.46,0.14,,,,,,
465,-0.48,-1.46,0.64,,,,,,
466,-0.61,-1.42,0.27,,,,,,
467,-0.69,-1.49,0.23,,,,,,
468,-0.89,-1.54,-0.20,,,,,,
469,-0.73,-1.55,0.26,,,,,,
470,-0.26,-1.13,1.02,,,,,,
471,-0.20,-1.24,0.90,,,,,,
472,-0.70,-1.78,0.32,,,,,,
473,-1.36,-2.18,-0.53,,,,,,
474,-1.05,-2.17,0.26,,,,,,
475,-0.84,-1.80,0.50,,,,,,
476,-0.86,-1.73,0.27,,,,,,
477,-0.63,-1.49,0.47,,,,,,
478,-0.14,-1.13,0.98,,,,,,
479,-0.40,-1.32,0.66,,,,,,
480,-0.73,-1.78,0.30,,,,,,
481,-0.45,-1.57,0.89,,,,,,
482,-0.23,-1.27,1.12,,,,,,
483,-0.18,-1.29,0.97,,,,,,
484,0.22,-0.79,1.43,,,,,,
