Time (dec. yrs),Time (yr CE),Month,t2m (degC)
1985.708,1985,9,-25.675
1985.792,1985,10,-32.319
1985.875,1985,11,-33.436
1985.958,1985,12,-37.919
1986.042,1986,1,-36.487
1986.125,1986,2,-31.694
1986.208,1986,3,-35.749
1986.292,1986,4,-30.310
1986.375,1986,5,-20.477
1986.458,1986,6,-14.078
1986.542,1986,7,-12.960
1986.625,1986,8,-13.953
1986.708,1986,9,-21.353
1986.792,1986,10,-33.607
1986.875,1986,11,-40.246
1986.958,1986,12,-35.708
1987.042,1987,1,-28.625
1987.125,1987,2,-37.645
1987.208,1987,3,-35.954
1987.292,1987,4,-27.606
1987.375,1987,5,-19.452
1987.458,1987,6,-10.139
1987.542,1987,7,-11.445
1987.625,1987,8,-14.494
1987.708,1987,9,-24.341
1987.792,1987,10,-33.927
1987.875,1987,11,-33.333
1987.958,1987,12,-41.874
1988.042,1988,1,-41.477
1988.125,1988,2,-39.811
1988.208,1988,3,-36.981
1988.292,1988,4,-30.936
1988.375,1988,5,-17.044
1988.458,1988,6,-12.131
1988.542,1988,7,-11.278
1988.625,1988,8,-15.693
1988.708,1988,9,-21.102
1988.792,1988,10,-27.447
1988.875,1988,11,-30.217
1988.958,1988,12,-39.351
1989.042,1989,1,-39.918
1989.125,1989,2,-42.676
1989.208,1989,3,-42.810
1989.292,1989,4,-29.226
1989.375,1989,5,-23.054
1989.458,1989,6,-11.784
1989.542,1989,7,-11.704
1989.625,1989,8,-16.558
1989.708,1989,9,-28.422
1989.792,1989,10,-32.106
1989.875,1989,11,-32.536
1989.958,1989,12,-33.675
1990.042,1990,1,-39.748
1990.125,1990,2,-43.332
1990.208,1990,3,-40.529
1990.292,1990,4,-31.488
1990.375,1990,5,-17.931
1990.458,1990,6,-11.474
1990.542,1990,7,-10.472
1990.625,1990,8,-16.362
1990.708,1990,9,-26.226
1990.792,1990,10,-33.472
1990.875,1990,11,-32.253
1990.958,1990,12,-31.401
1991.042,1991,1,-38.813
1991.125,1991,2,-32.448
1991.208,1991,3,-36.455
1991.292,1991,4,-33.340
1991.375,1991,5,-19.749
1991.458,1991,6,-11.637
1991.542,1991,7,-12.637
1991.625,1991,8,-18.151
1991.708,1991,9,-24.142
1991.792,1991,10,-30.258
1991.875,1991,11,-34.343
1991.958,1991,12,-35.842
1992.042,1992,1,-36.076
1992.125,1992,2,-40.313
1992.208,1992,3,-41.509
1992.292,1992,4,-32.740
1992.375,1992,5,-23.718
1992.458,1992,6,-13.415
1992.542,1992,7,-12.898
1992.625,1992,8,-18.025
1992.708,1992,9,-24.998
1992.792,1992,10,-25.143
1992.875,1992,11,-35.860
1992.958,1992,12,-40.445
1993.042,1993,1,-44.869
1993.125,1993,2,-39.659
1993.208,1993,3,-40.082
1993.292,1993,4,-29.521
1993.375,1993,5,-20.428
1993.458,1993,6,-11.467
1993.542,1993,7,-11.006
1993.625,1993,8,-16.506
1993.708,1993,9,-21.113
1993.792,1993,10,-29.409
1993.875,1993,11,-33.809
1993.958,1993,12,-39.754
1994.042,1994,1,-42.285
1994.125,1994,2,-34.402
1994.208,1994,3,-41.263
1994.292,1994,4,-25.816
1994.375,1994,5,-17.883
1994.458,1994,6,-14.656
1994.542,1994,7,-11.571
1994.625,1994,8,-15.385
1994.708,1994,9,-23.621
1994.792,1994,10,-36.537
1994.875,1994,11,-32.162
1994.958,1994,12,-37.925
1995.042,1995,1,-43.510
1995.125,1995,2,-42.921
1995.208,1995,3,-39.283
1995.292,1995,4,-26.764
1995.375,1995,5,-17.914
1995.458,1995,6,-11.275
