Year,B18_12,B21_12,B23_12,B26_12,NGRIP_12,B16,B18,B21,B26,B29,NEEM
1673,,,,,,129,103,123,206,93,
1672,,,,,,110,103,126,212,222,
1671,,,,,,175,113,104,110,147,
1670,,,,,,119,128,105,160,150,
1669,,,,,,83,93,119,175,102,
1668,,,,,,147,106,115,175,145,
1667,,,,,,147,78,102,127,117,
1666,,,,,,165,62,83,119,107,
1665,,,,,,184,102,86,199,166,
1664,,,,,,110,95,151,206,122,
1663,,,,,,129,78,56,120,136,
1662,,,,,,165,71,135,199,113,
1661,,,,,,110,72,103,182,149,
1660,,,,,,119,69,91,191,135,
1659,,,,,,119,64,76,134,93,
1658,,,,,,156,81,57,96,166,
1657,,,,,,147,95,110,207,122,
1656,,,,,,138,128,92,151,122,
1655,,,,,,165,133,118,247,175,
1654,,,,,,129,121,145,199,130,
1653,,,,,,92,78,116,136,145,
1652,,,,,,138,96,129,167,128,
1651,,,,,,138,152,90,206,140,
1650,,,,,,165,104,123,184,115,
1649,,,,,,92,66,149,200,124,
1648,,,,,,110,94,84,168,190,
1647,,,,,,175,103,100,184,115,
1646,,,,,,202,124,116,137,177,
1645,,,,,,110,93,151,176,125,
1644,,,,,,138,92,107,120,156,
1643,,,,,,92,97,85,113,107,
1642,,,,,,129,78,76,201,152,
1641,,,,,,74,88,94,152,117,
1640,,,,,,175,91,67,154,89,
1639,,,,,,119,106,121,165,177,
1638,,,,,,110,123,98,184,132,
1637,,,,,,119,113,143,136,158,
1636,,,,,,83,107,112,152,138,
1635,,,,,,92,72,93,248,133,
1634,,,,,,101,117,44,137,110,
1633,,,,,,110,109,126,209,123,
1632,,,,,,119,117,133,136,145,
1631,,,,,,138,130,90,161,173,
1630,,,,,,147,129,148,145,148,
1629,,,,,,129,88,86,153,105,
1628,,,,,,119,120,108,234,173,
1627,,,,,,119,81,79,160,124,
1626,,,,,,147,72,126,201,134,
1625,,,,,,147,89,48,170,130,
1624,,,,,,129,141,71,145,123,
1623,,,,,,110,136,135,201,165,
1622,,,,,,230,68,84,176,169,
1621,,,,,,92,62,66,121,107,
1620,,,,,,110,65,70,161,129,
1619,,,,,,129,137,95,72,124,
1618,,,,,,110,90,136,120,145,
1617,,,,,,119,79,111,169,153,
1616,,,,,,119,100,111,137,150,
1615,,,,,,147,108,92,186,153,
1614,,,,,,92,102,75,154,116,
1613,,,,,,175,74,120,113,90,
1612,,,,,,165,99,102,137,124,
1611,,,,,,110,92,87,121,152,
1610,,,,,,239,76,99,153,119,
1609,,,,,,184,88,85,161,185,
1608,,,,,,129,82,95,129,150,
1607,,,,,,64,149,97,178,120,
1606,,,,,,147,86,99,136,158,
1605,,,,,,129,80,91,184,109,
1604,,,,,,156,95,100,168,151,
1603,,,,,,64,99,78,113,133,
1602,,,,,,156,88,89,121,182,
1601,,,,,,92,91,65,226,118,
1600,,,,,,110,95,109,209,119,
1599,,,,,,110,154,127,170,125,
1598,,,,,,92,116,95,154,172,
1597,,,,,,119,54,101,146,155,
1596,,,,,,156,91,92,138,241,
1595,,,,,,175,76,83,146,208,
1594,,,,,,147,81,117,154,131,
1593,,,,,,147,116,97,154,156,
1592,,,,,,147,118,105,251,270,
1591,,,,,,138,101,99,146,128,
1590,,,,,,110,101,182,162,185,
1589,,,,,,211,123,132,121,161,
1588,,,,,,83,61,150,121,193,
1587,,,,,,165,77,93,113,130,
1586,,,,,,129,103,89,162,161,
1585,,,,,,156,118,130,194,127,
1584,,,,,,230,133,108,138,90,
1583,,,,,,138,70,138,203,130,
1582,,,,,,156,77,61,146,225,
1581,,,,,,110,126,68,122,110,
1580,,,,,,165,108,80,137,165,
1579,,,,,,64,129,74,227,135,
1578,,,,,,92,69,125,162,185,
1577,,,,,,74,85,96,163,99,
1576,,,,,,92,84,121,114,115,
1575,,,,,,138,98,121,113,136,
1574,,,,,,138,108,137,106,116,
1573,,,,,,119,91,74,138,151,
1572,,,,,,119,104,103,179,181,
1571,,,,,,156,92,150,179,120,
1570,,,,,,119,99,91,219,146,
1569,,,,,,184,95,92,154,140,
1568,,,,,,110,109,109,138,128,
1567,,,,,,165,219,123,138,118,
1566,,,,,,138,114,142,154,144,
1565,,,,,,129,101,147,236,120,
1564,,,,,,156,105,72,204,158,
1563,,,,,,156,104,51,212,156,
1562,,,,,,129,112,83,196,144,
1561,,,,,,138,60,103,122,152,
1560,,,,,,129,117,96,163,132,
1559,,,,,,101,89,112,154,126,
1558,,,,,,175,100,112,179,81,
1557,,,,,,110,89,110,163,120,
1556,,,,,,138,73,107,106,163,
1555,,,,,,101,98,106,147,167,
1554,,,,,,138,124,114,212,117,
1553,,,,,,74,76,100,146,135,
1552,,,,,,64,92,88,163,132,
1551,,,,,,129,109,91,139,158,
1550,,,,,,119,114,88,147,166,
1549,,,,,,138,109,123,172,149,
1548,,,,,,156,78,78,155,104,
1547,,,,,,147,81,93,163,221,
1546,,,,,,101,106,80,139,155,
1545,,,,,,129,86,102,179,175,
1544,,,,,,138,145,92,139,165,
1543,,,,,,193,97,127,131,168,
1542,,,,,,230,56,89,229,128,
1541,,,,,,184,86,74,147,121,
1540,,,,,,101,143,107,140,120,
1539,,,,,,138,84,86,189,100,
1538,,,,,,138,116,88,156,216,
1537,,,,,,138,95,68,148,141,
1536,,,,,,147,128,114,165,123,
1535,,,,,,119,68,118,148,136,
1534,,,,,,147,99,120,140,128,
1533,,,,,,119,126,81,148,151,
1532,,,,,,138,57,93,140,178,
1531,,,,,,147,76,90,164,89,
1530,,,,,,156,141,149,107,142,
1529,,,,,,119,105,110,181,128,
1528,,,,,,129,134,77,132,215,
1527,,,,,,101,90,77,205,116,
1526,,,,,,184,95,93,180,117,
1525,,,,,,119,159,113,181,99,
1524,,,,,,92,81,78,164,153,
1523,,,,,,138,91,67,140,131,
1522,,,,,,110,101,97,131,85,
1521,,,,,,129,74,65,156,131,
1520,,,,,,129,84,99,173,131,
1519,,,,,,55,65,98,148,152,
1518,,,,,,74,50,117,148,111,
1517,,,,,,138,64,130,148,175,
1516,,,,,,110,60,86,148,142,
1515,,,,,,138,106,94,140,145,
1514,,,,,,110,128,95,107,165,
1513,,,,,,156,84,88,213,141,
1512,,,,,,74,89,63,170,112,
1511,,,,,,184,109,80,155,123,
1510,,,,,,156,121,123,131,148,
1509,,,,,,165,104,105,189,132,
1508,,,,,,110,74,121,165,148,
1507,,,,,,165,102,72,165,135,
1506,,,,,,92,115,97,116,131,
1505,,,,,,147,80,86,181,129,
1504,,,,,,129,116,78,172,136,
1503,,,,,,110,71,73,189,164,
1502,,,,,,101,74,104,204,171,
1501,,,,,,110,123,125,,131,
1500,,,,,,202,118,81,,120,
1499,,,,,,184,95,93,,104,
1498,,,,,,184,76,165,,92,
1497,,,,,,175,52,82,,165,
1496,,,,,,230,90,88,,141,
1495,,,,,,165,84,72,,112,
1494,,,,,,138,112,84,,129,
1493,,,,,,110,55,73,,116,
1492,,,,,,138,83,73,,140,
1491,,,,,,193,100,84,,133,
1490,,,,,,74,130,89,,182,
1489,,,,,,156,71,80,,213,
1488,,,,,,110,92,82,,184,
1487,,,,,,156,88,66,,90,
