B21_2012 depth (m) center	B21_2012 d18O (permil)
9.609839617	-32.623001
9.629839617	-32.542
9.649839617	-32.59425
9.669839617	-32.627499
9.689839617	-32.091248
9.709839617	-32.778751
9.729839617	-32.83625
9.749839617	-32.913498
9.769839617	-33.119251
9.789839617	-33.190498
9.809839617	-33.329002
9.829839617	-33.317001
9.849839617	-33.414249
9.869839617	-32.825001
9.889839617	-33.453003
9.909839617	-33.320751
9.929839617	-33.172501
9.949839617	-33.168503
9.969839617	-33.096001
9.989839617	-33.054249
10.00983962	-32.060249
10.02983962	-32.626503
10.04983962	-32.471748
10.06983962	-31.92325
10.08983962	-32.048748
10.10983962	-31.713249
10.12983962	-30.894749
10.14983962	-31.0035
10.16983962	-30.53075
10.18983962	-30.37075
10.20983962	-30.3965
10.22983962	-30.554001
10.24983962	-30.45775
10.26983962	-30.730751
10.28983962	-31.091749
10.30983962	-31.665001
10.32983962	-31.81925
10.34983962	-32.3955
10.36983962	-32.928001
10.38983962	-33.236
10.40983962	-33.438751
10.42983962	-33.594749
10.44983962	-33.33725
10.46983962	-33.4995
10.48983962	-33.17025
10.50983962	-33.286499
10.52983962	-33.154999
10.54983962	-33.12175
10.56983962	-33.16275
10.58983962	-33.02375
10.60983962	-32.887249
10.62983962	-33.75425
10.64983962	-33.910999
10.66983962	-34.1805
10.68983962	-33.82375
10.70983962	-33.990002
10.72983962	-33.620499
10.74983962	-33.557251
10.76983962	-33.25375
10.78983962	-33.234249
10.80983962	-33.174751
10.82983962	-32.78075
10.84983962	-32.497749
10.86983962	-32.544998
10.88983962	-32.550499
10.90983962	-32.31625
10.92983962	-32.027248
10.94983962	-32.311001
10.96983962	-32.04575
10.98983962	-32.362999
11.00983962	-32.056747
11.02983962	-31.743999
11.04983962	-31.991249
11.06983962	-31.58975
11.08983962	-31.846251
11.10983962	-31.678249
11.12983962	-31.567501
11.14983962	-31.522251
11.16983962	-31.46875
11.18983962	-31.52375
11.20983962	-31.5305
11.22983962	-31.55925
11.24983962	-31.549
11.26983962	-31.968498
11.28983962	-31.84075
11.30983962	-31.986
11.32983962	-31.540251
11.34983962	-31.803001
11.36983962	-31.824749
11.38983962	-31.596001
11.40983962	-31.74325
11.42983962	-31.442501
11.44983962	-31.493999
11.46983962	-31.22625
11.48983962	-31.53125
11.50983962	-31.442249
11.52983962	-31.780001
11.54983962	-32.286751
11.56983962	-32.694748
11.58983962	-32.499001
11.60983962	-33.598751
11.62983962	-33.613998
11.64983962	-34.695747
11.66983962	-34.771999
11.68983962	-35.925251
11.70983962	-36.490997
11.72983962	-36.675999
11.74983962	-36.997498
11.76983962	-37.4165
11.78983962	-37.599499
11.80983962	-37.73225
11.82983962	-37.68425
11.84983962	-37.223251
11.86983962	-36.823997
11.88983962	-36.356251
11.90983962	-36.11475
11.92983962	-35.79475
11.94983962	-35.916748
11.96983962	-35.129501
11.98983962	-35.061001
12.00983962	-35.224751
12.02983962	-35.069748
12.04983962	-34.915249
12.06983962	-34.703499
12.08983962	-34.45475
12.10983962	-34.266251
12.12983962	-34.084251
12.14983962	-33.71925
12.16983962	-33.57
12.18983962	-33.357498
12.20983962	-33.332001
12.22983962	-33.41325
12.24983962	-33.430252
12.26983962	-33.539501
12.28983962	-33.737751
12.30983962	-33.585503
12.32983962	-33.971748
12.34983962	-34.216
12.36983962	-34.198002
12.38983962	-34.419998
12.40983962	-34.699749
12.42983962	-34.611
12.44983962	-34.778748
12.46983962	-34.658749
12.48983962	-34.591751
12.50983962	-34.37825
12.52983962	-34.084
12.54983962	-33.657749
12.56983962	-33.387501
12.58983962	-33.009003
12.60983962	-32.773003
12.62983962	-32.287498
12.64983962	-32.161499
12.66983962	-31.849251
12.68983962	-31.722
12.70983962	-31.473999
12.72983962	-31.007999
12.74983962	-31.116501
12.76983962	-30.769501
12.78983962	-30.65975
12.80983962	-30.549749
12.82983962	-30.4655
12.84983962	-30.542999
12.86983962	-30.627001
12.88983962	-30.966499
12.90983962	-30.976
12.92983962	-30.93325
12.94983962	-31.216499
12.96983962	-31.387751
12.98983962	-31.65675
13.00983962	-32.471252
13.02983962	-32.67625
13.04983962	-32.965252
13.06983962	-33.178001
13.08983962	-33.44775
13.10983962	-33.62825
13.12983962	-33.7845
13.14983962	-34.019501
13.16983962	-34.206497
13.18983962	-34.306999
13.20983962	-34.401749
13.22983962	-34.519501
13.24983962	-34.5215
13.26983962	-34.437
13.28983962	-34.393749
13.30983962	-34.272751
13.32983962	-34.167
13.34983962	-34.099503
13.36983962	-33.929501
13.38983962	-33.938
13.40983962	-33.82275
13.42983962	-34.106003
13.44983962	-34.007999
13.46983962	-33.950001
13.48983962	-34.40675
13.50983962	-34.213749
13.52983962	-34.16275
13.54983962	-34.537251
13.56983962	-34.249252
13.60983962	-34.401249
13.62983962	-34.432999
13.64983962	-34.55125
13.66983962	-34.62775
13.68983962	-34.498001
13.70983962	-34.805252
13.72983962	-34.584999
13.74983962	-34.855
13.76983962	-34.368999
13.78983962	-34.608002
13.80983962	-34.377499
13.82983962	-34.34
13.84983962	-34.049751
13.86983962	-34.167252
13.88983962	-33.589001
13.90983962	-33.526249
13.92983962	-33.257999
13.94983962	-33.15575
13.96983962	-33.299
13.98983962	-32.780502
14.00983962	-32.734001
14.02983962	-32.56675
14.04983962	-32.542747
14.06983962	-32.523251
14.08983962	-32.421749
14.10983962	-32.361
14.12983962	-32.30125
14.14983962	-32.577499
14.16983962	-32.154747
14.18983962	-32.839001
14.20983962	-33.062
14.22983962	-33.400501
14.24983962	-33.915501
14.26983962	-34.067501
14.28983962	-34.292
14.30983962	-34.223751
14.32983962	-34.675251
14.34983962	-34.50375
14.36983962	-34.633999
14.38983962	-34.449249
14.40983962	-34.366501
14.42983962	-34.185501
14.44983962	-33.985001
14.46983962	-33.950001
14.48983962	-33.741001
14.50983962	-33.623501
14.52983962	-33.559502
14.54983962	-33.491753
14.56983962	-33.328999
14.58983962	-33.387501
14.60983962	-32.907249
14.62983962	-33.502502
14.64983962	-33.6665
14.66983962	-33.109749
14.68983962	-33.76775
14.70983962	-33.689999
14.72983962	-33.9505
14.74983962	-34.019501
14.76983962	-33.605751
14.78983962	-34.147751
14.80983962	-33.740002
14.82983962	-33.708252
14.84983962	-34.656502
14.88983962	-34.604752
14.90983962	-34.585499
14.92983962	-34.629501
14.94983962	-34.768002
14.96983962	-34.530502
14.98983962	-34.679749
15.00983962	-34.8545
15.02983962	-34.96825
15.04983962	-35.105
15.06983962	-35.15675
15.08983962	-35.304249
15.10983962	-35.504501
15.12983962	-35.627998
15.14983962	-35.679749
15.16983962	-35.729248
15.18983962	-35.713753
15.20983962	-35.674252
15.22983962	-35.501751
15.24983962	-35.287251
15.26983962	-35.034
15.28983962	-34.779751
15.30983962	-34.505749
15.32983962	-34.248249
15.34983962	-34.09425
15.36983962	-33.966499
15.38983962	-33.84375
15.40983962	-33.850998
15.42983962	-33.96125
15.44983962	-34.067749
15.46983962	-34.2845
15.48983962	-34.487
15.50983962	-34.632
15.52983962	-34.756748
15.54983962	-34.744751
15.56983962	-34.707001
15.58983962	-34.576
15.60983962	-34.394753
15.62983962	-34.174248
15.64983962	-33.9575
15.66983962	-33.743752
15.68983962	-33.547752
15.70983962	-33.360748
15.72983962	-33.134499
15.74983962	-32.976749
15.76983962	-32.78075
15.78983962	-32.653252
15.80983962	-32.399002
15.82983962	-32.279499
15.84983962	-32.182747
15.86983962	-32.11375
15.88983962	-32.070999
15.90983962	-32.401001
15.92983962	-32.66325
15.94983962	-32.92075
